,Title,Artist,Year,Rank
540,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016,42
541,One Call Away,Charlie Puth,2016,43
542,Let It Go,James Bay,2016,44
543,No,Meghan Trainor,2016,45
544,Never Forget You,Zara Larsson & MNEK,2016,46
545,Let Me Love You,DJ Snake Featuring Justin Bieber,2016,47
546,Don't Mind,Kent Jones,2016,48
547,H.O.L.Y.,Florida Georgia Line,2016,49
548,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016,50
549,Into You,Ariana Grande,2016,51
550,Gold,Kiiara,2016,52
551,Exchange,Bryson Tiller,2016,53
552,679,Fetty Wap Featuring Remy Boyz,2016,54
553,Oui,Jeremih,2016,55
554,Hands To Myself,Selena Gomez,2016,56
555,2 Phones,Kevin Gates,2016,57
556,Starboy,The Weeknd Featuring Daft Punk,2016,58
557,For Free,DJ Khaled Featuring Drake,2016,59
558,Never Be Like You,Flume Featuring Kai,2016,60
559,In The Night,The Weeknd,2016,61
560,Me Too,Meghan Trainor,2016,62
561,Ex's & Oh's,Elle King,2016,63
562,Die A Happy Man,Thomas Rhett,2016,64
563,White Iverson,Post Malone,2016,65
564,Close  ,Nick Jonas Featuring Tove Lo,2016,66
565,Unsteady,X Ambassadors,2016,67
566,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016,68
567,Down In The DM,Yo Gotti Featuring Nicki Minaj,2016,69
568,Luv,Tory Lanez,2016,70
569,Sorry,Beyonce,2016,71
570,Can't Feel My Face,The Weeknd,2016,72
571,Hymn For The Weekend,Coldplay,2016,73
572,Say It,Tory Lanez,2016,74
573,Antidote,Travis Scott,2016,75
574,Lost Boy,Ruth B,2016,76
575,Side To Side,Ariana Grande Featuring Nicki Minaj,2016,77
576,"Sit Still, Look Pretty",Daya,2016,78
577,Wildest Dreams,Taylor Swift,2016,79
578,Middle,DJ Snake Featuring Bipolar Sunshine,2016,80
579,On My Mind,Ellie Goulding,2016,81
580,Pop Style,Drake Featuring The Throne,2016,82
581,When We Were Young,Adele,2016,83
582,Hide Away,Daya,2016,84
583,Lean On,Major Lazer & DJ Snake Featuring MO,2016,85
584,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2016,86
585,Watch Me,Silento,2016,88
586,Back To Sleep,Chris Brown,2016,89
587,No Limit,Usher Featuring Young Thug,2016,90
588,Cut It,O.T. Genasis Featuring Young Dolph,2016,91
589,Really Really,Kevin Gates,2016,92
590,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,2016,93
591,Starving,Hailee Steinfeld & Grey Featuring Zedd,2016,94
592,Adventure Of A Lifetime,Coldplay,2016,95
593,Humble And Kind,Tim McGraw,2016,96
594,Wicked,Future,2016,97
595,Tiimmy Turner,Desiigner,2016,98
596,See You Again,Wiz Khalifa Featuring Charlie Puth,2016,99
597,Perfect,One Direction,2016,100
598,Shape Of You,Ed Sheeran,2017,1
599,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,2
600,That's What I Like,Bruno Mars,2017,3
601,Humble.,Kendrick Lamar,2017,4
602,Something Just Like This,The Chainsmokers & Coldplay,2017,5
603,Bad And Boujee,Migos Featuring Lil Uzi Vert,2017,6
604,Closer,The Chainsmokers Featuring Halsey,2017,7
605,Body Like A Back Road,Sam Hunt,2017,8
606,Believer,Imagine Dragons,2017,9
607,Congratulations,Post Malone Featuring Quavo,2017,10
608,Say You Won't Let Go,James Arthur,2017,11
609,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",2017,12
610,XO TOUR Llif3,Lil Uzi Vert,2017,13
611,Mask Off,Future,2017,14
612,Unforgettable,French Montana Featuring Swae Lee,2017,15
613,24K Magic,Bruno Mars,2017,16
614,Stay,Zedd & Alessia Cara,2017,17
615,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017,18
616,Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017,19
617,Starboy,The Weeknd Featuring Daft Punk,2017,20
618,Location,Khalid,2017,21
619,Attention,Charlie Puth,2017,22
620,There's Nothing Holdin' Me Back,Shawn Mendes,2017,23
621,Bodak Yellow (Money Moves),Cardi B,2017,24
622,Redbone,Childish Gambino,2017,25
623,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,2017,26
624,It Ain't Me,Kygo x Selena Gomez,2017,27
625,iSpy,KYLE Featuring Lil Yachty,2017,28
626,Issues,Julia Michaels,2017,29
627,Scars To Your Beautiful,Alessia Cara,2017,30
628,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017,31
629,Slow Hands,Niall Horan,2017,32
630,Love On The Brain,Rihanna,2017,33
631,I Feel It Coming,The Weeknd Featuring Daft Punk,2017,34
632,Bounce Back, Big Sean,2017,35
633,Strip That Down,Liam Payne Featuring Quavo,2017,36
634,Fake Love,Drake,2017,37
635,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,2017,38
636,Look What You Made Me Do,Taylor Swift,2017,39
637,Castle On The Hill,Ed Sheeran,2017,40
638,Bad Things,Machine Gun Kelly x Camila Cabello,2017,41
639,Paris,The Chainsmokers,2017,42
640,Side To Side,Ariana Grande Featuring Nicki Minaj,2017,43
641,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017,44
642,Feel It Still,Portugal. The Man,2017,45
643,Let Me Love You,DJ Snake Featuring Justin Bieber,2017,46
644,Sorry Not Sorry,Demi Lovato,2017,47
645,Bank Account,21 Savage  ,2017,48
646,Can't Stop The Feeling!,Justin Timberlake,2017,49
647,Mi Gente,J Balvin & Willy William Featuring Beyonce,2017,50
648,Thunder,Imagine Dragons,2017,51
649,T-Shirt,Migos,2017,52
650,Rake It Up,Yo Gotti Featuring Nicki Minaj,2017,53
651,Mercy,Shawn Mendes,2017,54
652,Tunnel Vision,Kodak Black,2017,55
653,Rockstar,Post Malone Featuring 21 Savage,2017,56
654,In Case You Didn't Know,Brett Young,2017,57
655,Heathens,twenty one pilots,2017,58
656,Now Or Never,Halsey,2017,59
657,Caroline,Amine,2017,60
658,Rolex,Ayo & Teo,2017,61
659,DNA.,Kendrick Lamar,2017,62
660,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,2017,63
661,Swang,Rae Sremmurd,2017,64
662,Passionfruit,Drake,2017,65
663,Loyalty.,Kendrick Lamar Featuring Rihanna,2017,66
664,Praying,Kesha,2017,67
665,Goosebumps,Travis Scott,2017,68
666,Cold,Maroon 5 Featuring Future,2017,69
667,Broccoli,D.R.A.M. Featuring Lil Yachty,2017,70
668,Slide,Calvin Harris Featuring Frank Ocean & Migos,2017,71
669,What Ifs,Kane Brown Featuring Lauren Alaina,2017,72
670,Chained To The Rhythm,Katy Perry Featuring Skip Marley,2017,73
671,Feels,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",2017,74
672,All Time Low,Jon Bellion,2017,75
673,Hurricane,Luke Combs,2017,76
674,Too Good At Goodbyes,Sam Smith,2017,77
675,Young Dumb & Broke,Khalid,2017,78
676,Magnolia,Playboi Carti,2017,79
677,Love Galore,SZA Featuring Travis Scott,2017,80
678,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,2017,81
679,Starving,Hailee Steinfeld & Grey Featuring Zedd,2017,82
680,Both,Gucci Mane Featuring Drake,2017,83
681,What About Us,P!nk,2017,84
682,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017,85
683,Slippery,Migos Featuring Gucci Mane,2017,86
684,Sign Of The Times,Harry Styles,2017,87
685,Water Under The Bridge,Adele,2017,88
686,Malibu,Miley Cyrus,2017,89
687,Down,Marian Hill,2017,90
688,No Promises,Cheat Codes Featuring Demi Lovato,2017,91
689,Treat You Better,Shawn Mendes,2017,92
690,I Get The Bag,Gucci Mane Featuring Migos,2017,93
691,Small Town Boy,Dustin Lynch,2017,94
692,Everyday We Lit,YFN Lucci Featuring PnB Rock,2017,95
693,Havana,Camila Cabello Featuring Young Thug,2017,96
694,What Lovers Do,Maroon 5 Featuring SZA,2017,97
695,Do Re Mi,blackbear,2017,98
696,Look At Me!,XXXTENTACION,2017,99
697,The Fighter,Keith Urban Featuring Carrie Underwood,2017,100
698,God's Plan,Drake,2018,1
699,Perfect,Ed Sheeran,2018,2
700,Meant To Be,Bebe Rexha & Florida Georgia Line,2018,3
701,Havana,Camila Cabello Featuring Young Thug,2018,4
702,Rockstar,Post Malone Featuring 21 Savage,2018,5
703,Psycho,Post Malone Featuring Ty Dolla $ign,2018,6
704,I Like It,"Cardi B, Bad Bunny & J Balvin",2018,7
705,The Middle,"Zedd, Maren Morris & Grey",2018,8
706,In My Feelings,Drake,2018,9
707,Girls Like You,Maroon 5 Featuring Cardi B,2018,10
708,Nice For What,Drake,2018,11
709,Lucid Dreams,Juice WRLD,2018,12
710,Better Now,Post Malone,2018,13
711,Finesse,Bruno Mars & Cardi B  ,2018,14
712,Boo'd Up,Ella Mai,2018,15
713,New Rules,Dua Lipa,2018,16
714,Sad!,XXXTENTACION,2018,17
715,Never Be The Same,Camila Cabello,2018,18
716,Love Lies,Khalid & Normani,2018,19
717,No Tears Left To Cry,Ariana Grande,2018,20
718,Mine,Bazzi,2018,21
719,Thunder,Imagine Dragons,2018,22
720,Look Alive,BlocBoy JB Featuring Drake,2018,23
721,Delicate,Taylor Swift,2018,24
722,Yes Indeed,Lil Baby & Drake,2018,25
723,Friends,Marshmello & Anne-Marie,2018,26
724,Bad At Love,Halsey,2018,27
725,Taste,Tyga Featuring Offset,2018,28
726,Let You Down,NF,2018,29
727,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,2018,30
728,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,2018,31
729,Tequila,Dan + Shay,2018,32
730,Feel It Still,Portugal. The Man,2018,33
731,MotorSport,"Migos, Nicki Minaj & Cardi B",2018,34
732,I Like Me Better,Lauv,2018,35
733,Youngblood,5 Seconds Of Summer,2018,36
734,Whatever It Takes,Imagine Dragons,2018,37
735,Ric Flair Drip,Offset & Metro Boomin,2018,38
736,I Fall Apart,Post Malone,2018,39
737,Pray For Me,The Weeknd & Kendrick Lamar,2018,40
738,Back To You,Selena Gomez,2018,41
739,Sicko Mode,Travis Scott,2018,42
740,Walk It Talk It,Migos Featuring Drake,2018,43
741,Gucci Gang,Lil Pump,2018,44
742,Him & I,G-Eazy & Halsey,2018,45
743,In My Blood,Shawn Mendes,2018,46
744,All The Stars,Kendrick Lamar & SZA,2018,47  
745,Stir Fry,Migos,2018,48
746,Too Good At Goodbyes,Sam Smith,2018,49
747,Love.,Kendrick Lamar Featuring Zacari,2018,50
748,This Is America,Childish Gambino,2018,51
749,Nonstop,Drake,2018,52
750,Heaven,Kane Brown,2018,53
751,Bodak Yellow (Money Moves),Cardi B,2018,54
752,Freaky Friday,Lil Dicky Featuring Chris Brown,2018,55
753,Gummo,6ix9ine,2018,56
754,Plug Walk,Rich The Kid,2018,57
755,Wait,Maroon 5,2018,58
756,Be Careful,Cardi B,2018,59
757,Wolves,Selena Gomez X Marshmello,2018,60
758,Bartier Cardi,Cardi B Featuring 21 Savage,2018,61
759,God Is A Woman,Ariana Grande,2018,62
760,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018,63
761,Sorry Not Sorry,Demi Lovato,2018,64
762,How Long,Charlie Puth,2018,65
763,Lights Down Low,MAX Featuring gnash,2018,66
764, Young Dumb & Broke,Khalid,2018,67
765,One Kiss,Calvin Harris & Dua Lipa,2018,68
766,Natural,Imagine Dragons,2018,69
767,You Make It Easy,Jason Aldean,2018,70
768,Shape Of You,Ed Sheeran,2018,71
769,I Get The Bag,Gucci Mane Featuring Migos,2018,72
770,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",2018,73
771,Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018,74
772,Sky Walker,Miguel Featuring Travis Scott,2018,75
773,Marry Me,Thomas Rhett,2018,76
774,Eastside,"benny blanco, Halsey & Khalid",2018,77
775,Call Out My Name,The Weeknd,2018,78
776,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018,79
777,Happier,Marshmello & Bastille,2018,80
778,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018,81
779,Simple,Florida Georgia Line,2018,82
780,Lemon,N*E*R*D & Rihanna,2018,83
781,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2018,84
782,Say Something,Justin Timberlake Featuring Chris Stapleton,2018,85
783,I'm Upset,Drake,2018,86
784,Get Along,Kenny Chesney,2018,87
785,Moonlight,XXXTENTACION,2018,88
786,What Lovers Do,Maroon 5 Featuring SZA,2018,89
787,X,Nicky Jam x J Balvin,2018,90
788,Outside Today,YoungBoy Never Broke Again,2018,91
789,Trip,Ella Mai,2018,92
790,Dura,Daddy Yankee,2018,93
791,Changes,XXXTENTACION,2018,94
792,Mercy,Brett Young,2018,95
793,One Number Away,Luke Combs,2018,96
794,Powerglide,Rae Sremmurd & Juicy J,2018,97
795,IDGAF,Dua Lipa,2018,98
796,Mi Gente,J Balvin & Willy William Featuring Beyonce,2018,99
797,Believer,Imagine Dragons,2018,100
798,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019,1
799,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019,2
800,Without Me,Halsey,2019,3
801,Bad Guy,Billie Eilish,2019,4
802,Wow.,Post Malone,2019,5
803,Happier,Marshmello & Bastille,2019,6
804,7 Rings,Ariana Grande,2019,7
805,Talk,Khalid,2019,8
806,Sicko Mode,Travis Scott,2019,9
807,Sucker,Jonas Brothers,2019,10
808,High Hopes,Panic! At The Disco,2019,11
809,"Thank U, Next",Ariana Grande,2019,12
810,Truth Hurts,Lizzo,2019,13
811,Dancing With A Stranger,Sam Smith & Normani,2019,14
812,Senorita,Shawn Mendes & Camila Cabello,2019,15
813,I Don't Care,Ed Sheeran & Justin Bieber,2019,16
814,Eastside,"benny blanco, Halsey & Khalid",2019,17
815,Going Bad,Meek Mill Featuring Drake,2019,18
816,Shallow,Lady Gaga & Bradley Cooper,2019,19
817,Better,Khalid,2019,20
818,No Guidance,Chris Brown Featuring Drake,2019,21
819,Girls Like You,Maroon 5 Featuring Cardi B,2019,22
820,Sweet But Psycho,Ava Max,2019,23
821,Suge,DaBaby,2019,24
822,Middle Child,J. Cole,2019,25
823,Drip Too Hard,Lil Baby & Gunna,2019,26
824,Someone You Loved,Lewis Capaldi,2019,27
825,Ran$om,Lil Tecca,2019,28
826,If I Can't Have You,Shawn Mendes,2019,29
827,Goodbyes,Post Malone Featuring Young Thug,2019,30
828,ZEZE,Kodak Black Featuring Travis Scott & Offset,2019,31
829,Better Now,Post Malone,2019,32
830,Youngblood,5 Seconds Of Summer,2019,33
831,Money In The Grave,Drake Featuring Rick Ross,2019,34
832,Speechless,Dan + Shay,2019,35
833," Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019,36
834,Please Me,Cardi B & Bruno Mars,2019,37
835,Money,Cardi B,2019,38
836,You Need To Calm Down,Taylor Swift,2019,39
837,Panini,Lil Nas X,2019,40
838,Look Back At It,A Boogie Wit da Hoodie,2019,41
839,A Lot,21 Savage,2019,42
840,ME!,Taylor Swift Featuring Brendon Urie,2019,43
841,MIA,Bad Bunny Featuring Drake,2019,44
842,Pop Out,Polo G Featuring Lil Tjay,2019,45
843,Beautiful Crazy,Luke Combs,2019,46
844,Thotiana,Blueface,2019,47
845,Lucid Dreams,Juice WRLD,2019,48
846,Mo Bamba,Sheck Wes,2019,49
847,Beautiful People,Ed Sheeran Featuring Khalid,2019,50
848,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019,51
849,Whiskey Glasses,Morgan Wallen,2019,52
850,God's Country,Blake Shelton,2019,53
851,Be Alright,Dean Lewis,2019,54
852,Pure Water,Mustard & Migos,2019,55
853,The Git Up,Blanco Brown,2019,56
854,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019,57
855,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019,58
856,Envy Me,Calboy,2019,59
857,You Say,Lauren Daigle,2019,60
858,"Hey Look Ma, I Made It",Panic! At The Disco,2019,61
859,Circles,Post Malone,2019,62
860,Beer Never Broke My Heart,Luke Combs,2019,63
861,The London,"Young Thug, J. Cole & Travis Scott",2019,64
862, Con Calma,Daddy Yankee & Katy Perry Featuring Snow,2019,65
863,Murder On My Mind,YNW Melly,2019,66
864,When The Party's Over,Billie Eilish,2019,67
865,Act Up,City Girls,2019,68
866,I Like It,"Cardi B, Bad Bunny & J Balvin",2019,69
867,Trampoline,SHAED,2019,70
868,Leave Me Alone,Flipp Dinero,2019,71
869,Breathin,Ariana Grande,2019,72
870,Bury A Friend,Billie Eilish,2019,73
871,Close Friends,Lil Baby,2019,74
872,Baby Shark,Pinkfong,2019,75
873,My Type,Saweetie,2019,76
874,Worth It,YK Osiris,2019,77
875,Only Human,Jonas Brothers,2019,78
876,Knockin' Boots,Luke Bryan,2019,79
877,Trip,Ella Mai,2019,80
878,Rumor,Lee Brice,2019,81
879,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019,82
880,How Do You Sleep?,Sam Smith,2019,83
881,Baby,Lil Baby & DaBaby,2019,84
882,Look What God Gave Her,Thomas Rhett,2019,85
883,Good As You,Kane Brown,2019,86
884,Clout,Offset Featuring Cardi B,2019,87
885,Love Lies,Khalid & Normani,2019,88
886,One Thing Right,Marshmello & Kane Brown,2019,89
887,Cash Shit,Megan Thee Stallion Featuring DaBaby,2019,90
888,Tequila,Dan + Shay,2019,91
889,Shotta Flow,NLE Choppa,2019,92
890,Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019,93
891,Talk You Out Of It,Florida Georgia Line,2019,94
892,Beautiful,Bazzi Featuring Camila Cabello,2019,95
893,Eyes On You,Chase Rice,2019,96
894,All To Myself,Dan + Shay,2019,97
895,Boyfriend,Ariana Grande & Social House,2019,98
896,Walk Me Home,P!nk,2019,99
897,Robbery,Juice WRLD,2019,100
898,Blinding Lights,The Weeknd,2020,1
899,Circles,Post Malone,2020,2
900,The Box,Roddy Ricch,2020,3
901,Don't Start Now,Dua Lipa,2020,4
902,Rockstar,DaBaby Featuring Roddy Ricch,2020,5
903,Adore You,Harry Styles,2020,6
904, Life Is Good,Future Featuring Drake,2020,7
905,Memories,Maroon 5,2020,8
906,The Bones,Maren Morris,2020,9
907,Someone You Loved, Lewis Capaldi,2020,10
908,Say So,Doja Cat,2020,11
909,I Hope,Gabby Barrett Featuring Charlie Puth,2020,12
910,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020,13
911,Dance Monkey,Tones And I,2020,14
912,Savage,Megan Thee Stallion,2020,15
913,Roxanne,Arizona Zervas,2020,16
914,Intentions,Justin Bieber Featuring Quavo,2020,17
915,Everything I Wanted,Billie Eilish,2020,18
916,Roses,SAINt JHN,2020,19
917,Watermelon Sugar,Harry Styles,2020,20
918,Before You Go,Lewis Capaldi,2020,21
919,Falling,Trevor Daniel,2020,22
920,"10,000 Hours",Dan + Shay & Justin Bieber,2020,23
921,WAP,Cardi B Featuring Megan Thee Stallion,2020,24
922,Ballin',Mustard & Roddy Ricch,2020,25
923,Hot Girl Bummer,blackbear,2020,26
924,Blueberry Faygo,Lil Mosey,2020,27
925,Heartless,The Weeknd,2020,28
926,BOP,DaBaby,2020,29
927,Lose You To Love Me,Selena Gomez,2020,30
928,Good As Hell,Lizzo,2020,31
929,Toosie Slide,Drake,2020,32
930,Break My Heart,Dua Lipa,2020,33
931,Chasin' You,Morgan Wallen,2020,34
932,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020,35
933,No Guidance,Chris Brown Featuring Drake,2020,36
934,My Oh My,Camila Cabello Featuring DaBaby,2020,37
935,Dynamite,BTS,2020,38
936,Go Crazy,Chris Brown & Young Thug,2020,39
937,High Fashion,Roddy Ricch Featuring Mustard,2020,40
938,Laugh Now Cry Later,Drake Featuring Lil Durk,2020,41
939,Woah,Lil Baby,2020,42
940,Death Bed,Powfu Featuring beabadoobee,2020,43
941,Senorita,Shawn Mendes & Camila Cabello  ,2020,44
942,HIGHEST IN THE ROOM,Travis Scott,2020,45
943,Bad Guy,Billie Eilish,2020,46
944,Mood,24kGoldn Featuring iann dior,2020,47
945,Rain On Me,Lady Gaga & Ariana Grande,2020,48
946,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020,49
947,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020,50
948,Heart On Ice,Rod Wave,2020,51
949,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020,52
950,Trampoline,SHAED,2020,53
951,Come & Go,Juice WRLD x Marshmello,2020,54
952,Truth Hurts,Lizzo,2020,55
953,If The World Was Ending,JP Saxe Featuring Julia Michaels,2020,56
954,We Paid,Lil Baby & 42 Dugg,2020,57
955,Yummy,Justin Bieber,2020,58
956,One Man Band,Old Dominion,2020,59
957,Got What I Got,Jason Aldean,2020,60
958,Sunday Best,Surfaces,2020,61
959,Godzilla,Eminem Featuring Juice WRLD,2020,62
960,Bandit,Juice WRLD & YoungBoy Never Broke Again,2020,63
961,Party Girl,StaySolidRocky  ,2020,64
962,Die From A Broken Heart,Maddie & Tae,2020,65
963,Popstar,DJ Khaled Featuring Drake,2020,66
964,All I Want For Christmas Is You,Mariah Carey,2020,67
965,One Of Them Girls,Lee Brice,2020,68
966,Hard To Forget,Sam Hunt,2020,69
967,One Margarita,Luke Bryan,2020,70
968,Panini,Lil Nas X,2020,71
969,Hot,Young Thug Featuring Gunna,2020,72
970,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020,73
971,Emotionally Scarred,Lil Baby,2020,74
972,Suicidal,YNW Melly & Juice WRLD,2020,75
973,The Bigger Picture,Lil Baby,2020,76
974,Only Human,Jonas Brothers,2020,77
975,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch  ,2020,78
976,Sum 2 Prove,Lil Baby,2020,79
977,Stuck With U,Ariana Grande & Justin Bieber,2020,80
978,Mood Swings  ,Pop Smoke Featuring Lil Tjay,2020,81
979,You Should Be Sad,Halsey,2020,82
980,Dior,Pop Smoke,2020,83
981,Supalonely,BENEE Featuring Gus Dapperton,2020,84
982,Even Though I'm Leaving,Luke Combs,2020,85
983,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020,86
984,Juicy,Doja Cat & Tyga,2020,87
985,Be Like That,Kane Brown With Swae Lee & Khalid,2020,88
986,Homesick,Kane Brown,2020,89
987,Rags2Riches,Rod Wave Featuring ATR Son Son,2020,90
988,Bluebird,Miranda Lambert,2020,91
989,Wishing Well,Juice WRLD,2020,92
990,Does To Me,Luke Combs Featuring Eric Church,2020,93
991,P*$$y Fairy (OTW),Jhene Aiko,2020,94
992,ily,Surf Mesa Featuring Emilee,2020,95
993,More Than My Hometown,Morgan Wallen,2020,96
994,Lovin' On You,Luke Combs,2020,97
995,Said Sum,Moneybagg Yo,2020,98
996,Slide,H.E.R. Featuring YG,2020,99
997,Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020,100
